"ORF" "tm" "gc" "length"
"1" "YPL001W" 60.074 45 20
"2" "YPL002C" 59.931 45 20
"3" "YPL003W" 60.01 55 20
"4" "YPL004C" 60.074 40 20
"5" "YPL005W" 59.978 45 20
"6" "YPL006W" 60.038 45 20
"7" "YPL007C" 60.049 40 20
"8" "YPL008W" 60.02 45 20
"9" "YPL009C" 59.972 50 20
"10" "YPL010W" 60.096 45 20
"11" "YPL011C" 59.972 50 20
"12" "YPL012W" 60.01 45 20
"13" "YPL013C" 59.986 55 20
"14" "YPL014W" 59.988 45 20
"15" "YPL015C" 60.032 50 20
"16" "YPL016W" 60.015 50 20
"17" "YPL017C" 59.998 50 20
"18" "YPL018W" 59.955 50 20
"19" "YPL019C" 59.997 55 20
"20" "YPL020C" 60.05 50 20
"21" "YPL021W" 59.919 60 20
"22" "YPL022W" 59.993 45 20
"23" "YPL023C" 60.023 50 20
"24" "YPL024W" 60.028 55 20
"25" "YPL026C" 59.935 50 20
"26" "YPL027W" 59.827 50 20
"27" "YPL028W" 59.972 50 20
"28" "YPL029W" 60.003 45 20
"29" "YPL030W" 60.031 45 20
"30" "YPL031C" 59.944 55 20
"31" "YPL032C" 59.953 50 20
"32" "YPL033C" 59.934 50 20
"33" "YPL034W" 59.923 45 20
"34" "YPL036W" 59.993 50 20
"35" "YPL037C" 60.029 50 20
"36" "YPL038W" 60.008 45 20
"37" "YPL039W" 60.096 45 20
"38" "YPL040C" 60.036 50 20
"39" "YPL041C" 59.864 50 20
"40" "YPL042C" 59.93 40 20
"41" "YPL043W" 59.942 50 20
"42" "YPL045W" 60.31 45 20
"43" "YPL046C" 59.939 50 20
"44" "YPL047W" 60.255 55 20
"45" "YPL048W" 59.971 45 20
"46" "YPL049C" 59.981 60 20
"47" "YPL050C" 59.989 50 20
"48" "YPL051W" 60.048 45 20
"49" "YPL052W" 60.034 55 20
"50" "YPL053C" 59.989 50 20
"51" "YPL054W" 60.11 45 20
"52" "YPL055C" 60.005 60 20
"53" "YPL056C" 60.047 55 20
"54" "YPL057C" 59.95 55 20
"55" "YPL058C" 59.988 50 20
"56" "YPL059W" 59.867 60 20
"57" "YPL060W" 60.103 50 20
"58" "YPL061W" 60.005 50 20
"59" "YPL063W" 60.012 50 20
"60" "YPL064C" 59.95 50 20
"61" "YPL065W" 60.014 45 20
"62" "YPL066W" 60.006 50 20
"63" "YPL067C" 60.073 40 20
"64" "YPL068C" 59.995 45 20
"65" "YPL069C" 59.971 45 20
"66" "YPL070W" 60.052 55 20
"67" "YPL071C" 60.059 50 20
"68" "YPL072W" 60.051 45 20
"69" "YPL074W" 59.95 55 20
"70" "YPL075W" 59.971 45 20
"71" "YPL076W" 60.053 50 20
"72" "YPL077C" 59.928 45 20
"73" "YPL078C" 60.005 50 20
"74" "YPL079W" 60.263 50 20
"75" "YPL081W" 59.927 50 20
"76" "YPL082C" 59.986 55 20
"77" "YPL083C" 59.993 50 20
"78" "YPL084W" 60.052 55 20
"79" "YPL085W" 60.002 55 20
