ORF	Start BP	End BP	Length
YAL069W	335	649	314
YAL068W-A	538	792	254
YAL068C	2169	1807	362
YAL067W-A	2480	2707	227
YAL067C	9017	7236	1781
YAL066W	10092	10400	308
YAL065C	11952	11566	386
YAL064W-B	12047	12427	380
YAL064C-A	13744	13364	380
YAL064W	21526	21852	326
YAL063C-A	22687	22397	290
YAL063C	27969	24001	3968
YAL062W	31568	32941	1373
YAL061W	33449	34702	1253
YAL060W	35156	36304	1148
YAL059W	36510	37148	638
YAL059C-A	36919	36497	422
YAL058W	37465	38973	1508
YAL056C-A	39047	38697	350
YAL056W	39260	41902	2642
YAL055W	42178	42720	542
YAL054C	45023	42882	2141
YAL053W	45900	48251	2351
YAL051W	48565	51708	3143
YAL049C	52596	51856	740
YAL047W-A	54585	54914	329
YAL048C	54790	52802	1988
YAL047C	56858	54990	1868
YAL046C	57386	57030	356
YAL044W-A	57519	57851	332
YAL045C	57797	57489	308
YAL044C	58463	57951	512
YAL043C	61053	58696	2357
YAL042W	61317	62564	1247
YAL042C-A	61609	61232	377
YAL041W	62841	65405	2564
YAL040C	67521	65779	1742
YAL039C	69526	68717	809
YAL038W	71787	73289	1502
YAL037C-B	73301	72327	974
YAL037C-A	73519	73427	92
YAL037W	74021	74824	803
YAL036C	76153	75044	1109
YAL035W	76428	79436	3008
YAL034W-A	79719	80588	869
YAL034C-B	79843	79490	353
YAL034C	81952	80711	1241
YAL033W	82707	83228	521
YAL032C	84475	83336	1139
YAL031W-A	84670	84978	308
YAL031C	87032	84750	2282
YAL030W	87287	87753	466
YAL029C	92271	87856	4415
YAL028W	92901	94487	1586
YAL027W	94688	95473	785
YAL026C-A	95824	95387	437
YAL026C	99698	95631	4067
YAL025C	101146	100226	920
YAL024C	105873	101566	4307
YAL023C	108552	106273	2279
YAL022C	110431	108878	1553
YAL021C	113360	110847	2513
YAL019W-A	114251	114820	569
YAL020C	114616	113615	1001
YAL019W	114920	118315	3395
YAL018C	119542	118565	977
YAL017W	120226	124296	4070
YAL016C-B	124493	124308	185
YAL016W	124880	126787	1907
YAL016C-A	125070	124756	314
YAL015C	128103	126904	1199
YAL014C	129020	128253	767
YAL013W	129271	130533	1262
YAL012W	130802	131986	1184
YAL011W	132202	134079	1877
YAL010C	135667	134186	1481
YAL009W	135856	136635	779
YAL008W	136916	137512	596
YAL007C	138347	137700	647
YAL004W	140762	141409	647
YAL005C	141433	139505	1928
YAL003W	142176	143162	986
YAL002W	143709	147533	3824
YAL001C	151168	147596	3572
YAR002W	152259	153878	1619
YAR002C-A	154726	154067	659
YAR003W	155007	156287	1280
YAR007C	158621	156756	1865
YAR008W	158967	159794	827
YAR014C	168866	166743	2123
YAR015W	169370	170290	920
YAR018C	171698	170391	1307
YAR019W-A	174996	175340	344
YAR019C	175133	172209	2924
YAR020C	177021	176854	167
YAR023C	179818	179279	539
YAR027W	183764	184471	707
YAR028W	184886	185590	704
YAR029W	186315	186539	224
YAR031W	186830	187726	896
YAR030C	186847	186506	341
YAR033W	188101	188805	704
YAR035W	190187	192250	2063
YAR035C-A	192411	192331	80
YAR042W	192613	196179	3566
YAR047C	201780	201460	320
YAR050W	203394	208007	4613
YAR053W	208358	208654	296
YAR060C	217483	217148	335
YAR064W	220189	220488	299
YAR066W	221040	221651	611
YAR068W	222397	222882	485
YAR069C	224295	224002	293
YAR070C	224853	224554	299
YAR071W	225451	226854	1403
YAR073W	227733	228944	1211
YAR075W	228835	229308	473
YJL225W-A	829	1311	482
YJL225C	6130	466	5664
YJL223C	9138	8776	362
YJL222W-B	9346	9483	137
YJL222W-A	9452	9679	227
YJL222W	11475	16124	4649
YJL220W	18243	18695	452
YJL221C	18536	16767	1769
YJL219W	19497	21200	1703
YJL218W	21973	22563	590
YJL217W	23133	23729	596
YJL216C	26086	24341	1745
YJL215C	26771	26412	359
YJL214W	26887	28596	1709
YJL213W	32163	33158	995
YJL212C	36249	33850	2399
YJL210W	36919	37734	815
YJL211C	37200	36757	443
YJL209W	38005	39969	1964
YJL208C	41183	40194	989
YJL207C	47433	41389	6044
YJL206C	49935	47659	2276
YJL205C	50443	50139	304
YJL204C	53151	50629	2522
YJL203W	53341	54183	842
YJL202C	54290	53943	347
YJL201W	54379	56178	1799
YJL200C	58813	56444	2369
YJL199C	60181	59855	326
YJL198W	60843	63488	2645
YJL197W	63804	67568	3764
YJL197C-A	66085	65804	281
YJL196C	68781	67849	932
YJL194W	69337	70878	1541
YJL195C	69941	69240	701
YJL193W	71365	72573	1208
YJL192C	73413	72709	704
YJL191W	73786	74610	824
YJL190C	75301	74909	392
YJL189W	75932	76473	541
YJL188C	76509	76201	308
YJL187C	79261	76802	2459
YJL186W	80153	81913	1760
YJL185C	82974	82093	881
YJL184W	83446	83817	371
YJL183W	84066	85334	1268
YJL181W	85658	87493	1835
YJL182C	85750	85433	317
YJL180C	88558	87581	977
YJL179W	88785	89114	329
YJL178C	90095	89280	815
YJL177W	90784	91655	871
YJL175W	94047	94559	512
YJL176C	94528	92051	2477
YJL174W	95090	95920	830
YJL173C	96527	96159	368
YJL172W	97731	99461	1730
YJL171C	100888	99698	1190
YJL170C	101695	101144	551
YJL169W	102092	102460	368
YJL168C	104421	102220	2201
YJL167W	105007	106065	1058
YJL166W	106427	106711	284
YJL165C	109454	106887	2567
YJL164C	111152	109959	1193
YJL163C	113328	111661	1667
YJL162C	115624	114176	1448
YJL161W	117240	117782	542
YJL160C	118820	117957	863
YJL159W	120444	121607	1163
YJL158C	122865	122182	683
YJL157C	126245	123753	2492
YJL156W-A	126521	126742	221
YJL156C	128870	126807	2063
YJL155C	130561	129203	1358
YJL154C	133853	131019	2834
YJL153C	135851	134250	1601
YJL152W	136092	136451	359
YJL151C	136691	136290	401
YJL150W	137041	137343	302
YJL149W	137297	139288	1991
YJL148W	140355	141056	701
YJL147C	142485	141337	1148
YJL146W	143210	144619	1409
YJL145W	145078	145962	884
YJL144W	146277	146591	314
YJL143W	147019	147495	476
YJL142C	148129	147737	392
YJL141C	150308	147885	2423
YJL140W	150879	151544	665
YJL139C	152917	151631	1286
YJL138C	154609	153422	1187
YJL137C	156045	154903	1142
YJL136W-A	156087	156170	83
YJL136C	157191	156468	723
YJL135W	157795	158112	317
YJL134W	158106	159335	1229
YJL133C-A	159765	159541	224
YJL133W	160537	161481	944
YJL132W	161832	164084	2252
YJL131C	165266	164196	1070
YJL130C	172285	165641	6644
YJL129C	177224	173517	3707
YJL128C	180021	178015	2006
YJL127W-A	180112	180228	116
YJL127C-B	181628	181470	158
YJL127C	184139	182217	1922
YJL126W	184420	185343	923
YJL125C	186598	185447	1151
YJL124C	187564	187046	518
YJL123C	189360	187924	1436
YJL122W	189636	190163	527
YJL120W	190942	191265	323
YJL121C	191010	190294	716
YJL118W	191559	192218	659
YJL119C	191815	191492	323
YJL117W	192451	193386	935
YJL116C	194793	193780	1013
YJL115W	196206	197045	839
YJL112W	205222	207366	2144
YJL111W	207794	209446	1652
YJL110C	211494	209839	1655
YJL109C	217226	211917	5309
YJL108C	218773	217622	1151
YJL107C	219933	218770	1163
YJL106W	221307	223244	1937
YJL105W	224972	226654	1682
YJL104W	227244	227693	449
YJL103C	230798	228942	1856
YJL102W	231218	233677	2459
YJL101C	236273	234237	2036
YJL100W	237180	239003	1823
YJL099W	239331	241571	2240
YJL098W	241999	245175	3176
YJL097W	245508	246161	653
YJL096W	246407	246892	485
YJL095W	247171	251607	4436
YJL094C	254358	251737	2621
YJL093C	256728	254653	2075
YJL092W	257339	260863	3524
YJL091C	262468	260996	1472
YJL090C	264967	262673	2294
YJL089W	265842	268331	2489
YJL088W	268715	269731	1016
YJL087C	272401	269918	2483
YJL085W	272743	274614	1871
YJL086C	272762	272394	368
YJL084C	277918	274778	3140
YJL083W	278757	280571	1814
YJL082W	281101	283296	2195
YJL081C	285187	283718	1469
YJL080C	289142	285474	3668
YJL079C	290690	289791	899
YJL078C	293897	291252	2645
YJL077W-B	293963	294061	98
YJL077W-A	294715	294801	86
YJL077C	294977	294582	395
YJL076W	295161	298730	3569
YJL075C	298792	298376	416
YJL074C	302765	299073	3692
YJL073W	303097	305034	1937
YJL072C	305778	305137	641
YJL071W	306048	307772	1724
YJL070C	310553	307887	2666
YJL069C	312622	310838	1784
YJL068C	313831	312932	899
YJL067W	314000	314350	350
YJL066C	314788	314030	758
YJL064W	315091	315486	395
YJL065C	315473	314970	503
YJL063C	316391	315675	716
YJL062W-A	316639	316896	257
YJL062W	317200	319692	2492
YJL061W	319932	322073	2141
YJL060W	323302	324636	1334
YJL059W	324880	326106	1226
YJL058C	327789	326158	1631
YJL057C	330037	328034	2003
YJL056C	332989	330347	2642
YJL055W	333273	334010	737
YJL054W	334181	335617	1436
YJL053W	335814	336953	1139
YJL052C-A	337919	337800	119
YJL052W	338187	339185	998
YJL051W	339703	342171	2468
YJL050W	342438	345659	3221
YJL049W	345889	347241	1352
YJL048C	348553	347363	1190
YJL047C-A	349094	348960	134
YJL047C	352024	349496	2528
YJL046W	352176	353531	1355
YJL045W	355940	357844	1904
YJL044C	359592	358216	1376
YJL043W	360046	360819	773
YJL042W	361165	365361	4196
YJL041W	365700	368289	2589
YJL039C	373715	368664	5051
YJL038C	375690	375031	659
YJL037W	376578	377252	674
YJL036W	378741	380012	1271
YJL035C	380917	380165	752
YJL034W	381243	383291	2048
YJL033W	383753	386065	2312
YJL032W	386264	386578	314
YJL031C	387354	386284	1070
YJL030W	387573	388163	590
YJL029C	390769	388301	2468
YJL028W	391227	391562	335
YJL027C	392165	391749	416
YJL026W	392320	393519	1199
YJL026C-A	393203	392982	221
YJL025W	393883	395427	1544
YJL024C	396508	395847	661
YJL022W	398025	398333	308
YJL023C	398314	397271	1043
YJL020W-A	400897	401154	257
YJL020C	402326	398853	3473
YJL019W	402813	404861	2048
YJL016W	405504	407189	1685
YJL015C	407432	407058	374
YJL014W	407473	409077	1604
YJL013C	410955	409408	1547
YJL012C	413314	411149	2165
